Address,Name,Gender,Age,Average Dollar,Coordinates,Latitude,Longitude
"218 Seventeenth Fairway Roswell, GA 30076",Jaquelyn Watson,female,24,518,,,
"2740 Satinwood DR Roswell, GA 30076",Jacquelyne Moran,female,15,327,,,
"343 Banyon Brook PT Roswell, GA 30076",Archie Fox,male,55,201,,,
"2618 Links End Roswell, GA 30076",Jacques Shepard,male,20,465,,,
"208 Merritt DR Roswell, GA 30076",Bret Foley,male,36,466,,,
"239 Merritt DR Roswell, GA 30076",Dick Clements,male,18,71,,,
"641 Winnmark DR Roswell, GA 30076",Debera Hoover,female,36,308,,,
"2636 Satinwood DR Roswell, GA 30076",Shaquana Hendrix,female,33,770,,,
"323 Seventeenth Fairway Roswell, GA 30076",Numbers Hickman,female,9,531,,,
"8422 Riverbirch DR Roswell, GA 30076",Garret Tran,male,31,459,,,
"8107 Riverbirch DR Roswell, GA 30076",Mike Shepard,male,69,472,,,
"147 Lazy Laurel Chase Roswell, GA 30076",Rob Callahan,male,43,104,,,
"2741 Satinwood DR Roswell, GA 30076",Nathanial Terrell,male,47,489,,,
"8629 Steeple Chase DR Roswell, GA 30076",Madie Valdez,female,56,62,,,
"634 Fourth Fairway DR Roswell, GA 30076",Marcene Rodgers,female,29,441,,,
"115 Lazy Laurel Chase Roswell, GA 30076",Clemmie Sandoval,female,5,428,,,
"8508 Steeple Chase DR Roswell, GA 30076",Lakia Graves,female,14,642,,,
"545 Fourth Fairway DR Roswell, GA 30076",Alberto Delaney,male,36,511,,,
"2647 Misty Morning LN Roswell, GA 30076",Calista Le,female,26,515,,,
"8230 Riverbirch DR Roswell, GA 30076",Alfonso Moreno,male,59,88,,,
"336 Banyon Brook PT Roswell, GA 30076",Olen Lyons,male,35,463,,,
"2406 Steeple Chase DR Roswell, GA 30076",Lester Wells,male,30,269,,,
"625 Fourth Fairway DR Roswell, GA 30076",Pia Rojas,female,7,184,,,
"8210 Riverbirch DR Roswell, GA 30076",Thalia Cleveland,female,51,145,,,
"2701 Hazy Hollow RUN Roswell, GA 30076",Leland Patton,male,25,468,,,
"205 Shadowledge LN Roswell, GA 30076",Magaret Hyde,female,9,47,,,
"2728 Satinwood DR Roswell, GA 30076",Tonita Woodward,female,9,457,,,
"2412 The Fifth Fairway Roswell, GA 30076",Bernardo Wheeler,male,31,703,,,
"458 Fourth Fairway DR Roswell, GA 30076",Gianna Flores,female,42,437,,,
"2533 Steeple Chase DR Roswell, GA 30076",Cassi Heath,female,46,41,,,
"8101 Riverbirch DR Roswell, GA 30076",Willard Roy,male,25,484,,,
"133 Willow Brook DR Roswell, GA 30076",Hyman Meyer,male,27,425,,,
"2444 Village On The GRN Roswell, GA 30076",Hal Stanton,male,17,613,,,
"2506 Links End Roswell, GA 30076",Jasper Christensen,male,41,455,,,
"231 Merritt DR Roswell, GA 30076",Hyo James,female,57,372,,,
"347 Seventeenth Fairway Roswell, GA 30076",Domenic Rodriquez,male,51,90,,,
"8278 Overview CT Roswell, GA 30076",Timmy Chan,male,15,820,,,
"8535 Haven Wood TRL Roswell, GA 30076",Margene Bentley,female,45,835,,,
"8162 Overview CT Roswell, GA 30076",Camila Spears,female,34,189,,,
"8317 Riverbirch DR Roswell, GA 30076",Cristopher Mcconnell,male,58,491,,,
"8503 Riverbirch DR Roswell, GA 30076",Clemmie Cobb,female,56,292,,,
"8221 Riverbirch DR Roswell, GA 30076",Bryce Russo,male,23,589,,,
"303 Merritt DR Roswell, GA 30076",Alethea Valencia,female,42,330,,,
"2520 Links End Roswell, GA 30076",Willard Hanson,male,41,455,,,
"210 Willow Brook DR Roswell, GA 30076",Moshe Blake,male,17,507,,,
"8320 Riverbirch DR Roswell, GA 30076",Alex Lewis,female,50,567,,,
"2483 The Fifth Fairway Roswell, GA 30076",Lorina Cummings,female,51,312,,,
"2463 The Fifth Fairway Roswell, GA 30076",Keith Roach,male,7,390,,,
"246 Seventeenth Fairway Roswell, GA 30076",Arthur Stewart,male,13,522,,,
"342 Banyon Brook PT Roswell, GA 30076",Buffy Dodson,female,42,562,,,
"8117 Overview CT Roswell, GA 30076",Ewa Gates,female,19,886,,,
"8412 Haven Wood TRL Roswell, GA 30076",Rosario Potter,male,31,274,,,
"2424 The Fifth Fairway Roswell, GA 30076",Christopher Chase,male,59,478,,,
"8408 Haven Wood TRL Roswell, GA 30076",Cleo Harrington,male,9,487,,,
"8311 Riverbirch DR Roswell, GA 30076",Whitley Armstrong,female,32,260,,,
"2724 Satinwood DR Roswell, GA 30076",Latoyia Olsen,female,22,561,,,
"204 Merritt DR Roswell, GA 30076",Ricky Avila,male,47,241,,,
"2638 Misty Morning LN Roswell, GA 30076",Ardell Sharpe,female,38,547,,,
"8309 Overview CT Roswell, GA 30076",Alessandra Forbes,female,27,115,,,
"647 Winnmark DR Roswell, GA 30076",Perry Alexander,male,58,195,,,
"2428 Village On The GRN Roswell, GA 30076",Sylvester Leach,male,66,624,,,
"116 Lazy Laurel Chase Roswell, GA 30076",Gertrud Randolph,female,49,803,,,
"8147 Overview CT Roswell, GA 30076",Santos Mccray,male,14,228,,,
"8274 Overview CT Roswell, GA 30076",Columbus Gilmore,male,44,433,,,
"322 Seventeenth Fairway Roswell, GA 30076",Jonie Arnold,female,38,415,,,
"8306 Riverbirch DR Roswell, GA 30076",Leo Blackburn,female,15,657,,,
"2410 Village On The GRN Roswell, GA 30076",Sabine Doyle,female,65,104,,,
"2618 Satinwood DR Roswell, GA 30076",Glendora Morse,female,23,135,,,
"2733 Satinwood DR Roswell, GA 30076",Kimi Kim,female,69,604,,,
"109 Lazy Laurel Chase Roswell, GA 30076",Adelle Torres,female,29,324,,,
"2547 Links End Roswell, GA 30076",Miles Copeland,male,25,901,,,
"322 Merritt DR Roswell, GA 30076",Irvin Stevens,male,24,536,,,
"8110 Overview CT Roswell, GA 30076",Rico Alford,male,35,59,,,
"49 Lazy Laurel Close Roswell, GA 30076",Mauro Padilla,male,37,78,,,
"226 Merritt DR Roswell, GA 30076",Margeret Page,female,11,388,,,
"8440 Riverbirch DR Roswell, GA 30076",Daryl Bryant,female,38,104,,,
"8509 Haven Wood TRL Roswell, GA 30076",Marcellus Bishop,male,68,362,,,
"306 Merritt DR Roswell, GA 30076",Pat Gill,male,47,740,,,
"2511 The Fifth Fairway Roswell, GA 30076",Lynelle Harvey,female,12,299,,,
"625 Winnmark DR Roswell, GA 30076",Raymond Holloway,female,65,202,,,
"303 Seventeenth Fairway Roswell, GA 30076",Dot Vance,female,10,429,,,
"145 Lazy Laurel Chase Roswell, GA 30076",Zenobia Daugherty,female,23,153,,,
"354 Banyon Brook PT Roswell, GA 30076",Florencia Noel,female,60,529,,,
"533 Fourth Fairway DR Roswell, GA 30076",Jarvis Galloway,male,55,364,,,
"218 Merritt DR Roswell, GA 30076",Merrill Underwood,female,28,383,,,
"348 Seventeenth Fairway Roswell, GA 30076",Marlana Hubbard,female,40,884,,,
"8291 Overview CT Roswell, GA 30076",Kiana Ferguson,female,42,678,,,
"101 Willow Brook DR Roswell, GA 30076",Rutha Ballard,female,27,209,,,
"2737 Hazy Hollow RUN Roswell, GA 30076",Gertha Raymond,female,59,469,,,
"41 Lazy Laurel Close Roswell, GA 30076",Warner Cole,male,30,399,,,
"2448 Steeple Chase DR Roswell, GA 30076",Nicholle Weiss,female,11,303,,,
"8311 Overview CT Roswell, GA 30076",Ted Spencer,male,32,719,,,
"121 Willow Brook DR Roswell, GA 30076",Ken Perez,male,36,238,,,
"8446 Riverbirch DR Roswell, GA 30076",Nelson Wooten,male,52,426,,,
"8503 Haven Wood TRL Roswell, GA 30076",Isaias Rodgers,male,10,174,,,
"2703 Hazy Hollow RUN Roswell, GA 30076",Kennith Gibson,male,8,155,,,
"2713 Satinwood DR Roswell, GA 30076",Neely Morgan,female,40,303,,,
"348 Merritt DR Roswell, GA 30076",Isa Lawrence,female,5,563,,,
"2634 Links End Roswell, GA 30076",Armandina Shelton,female,30,420,,,
"264 Seventeenth Fairway Roswell, GA 30076",Buford Mullen,male,26,434,,,
"434 Fourth Fairway DR Roswell, GA 30076",Teresia Franklin,female,65,170,,,
"644 Winnmark DR Roswell, GA 30076",Kristle Morales,female,51,540,,,
"233 Willow Brook DR Roswell, GA 30076",Tomi Hines,female,51,325,,,
"8403 Haven Wood TRL Roswell, GA 30076",Jonas Chapman,male,55,290,,,
"203 Shadowledge LN Roswell, GA 30076",Courtney Mercado,male,42,495,,,
"8555 Haven Wood TRL Roswell, GA 30076",Denny Reynolds,female,38,253,,,
"208 Willow Brook DR Roswell, GA 30076",Stephane Dawson,female,14,88,,,
"8323 Overview CT Roswell, GA 30076",Timmy Atkinson,male,34,216,,,
"134 Willow Brook DR Roswell, GA 30076",Franklyn Bentley,male,40,287,,,
"427 Fourth Fairway DR Roswell, GA 30076",Marshall Rich,female,27,551,,,
"2437 Village On The GRN Roswell, GA 30076",Josh Franco,male,43,699,,,
"2514 Links End Roswell, GA 30076",Joseph Johnston,male,37,299,,,
"8404 Haven Wood TRL Roswell, GA 30076",Ling Jordan,female,20,93,,,
"2716 Misty Morning LN Roswell, GA 30076",Sherril Spence,female,47,370,,,
"223 Shadowledge LN Roswell, GA 30076",Kory Steele,male,12,249,,,
"245 Seventeenth Fairway Roswell, GA 30076",Agustin Gibson,male,47,81,,,
"2609 Links End Roswell, GA 30076",Yevette Garza,female,40,293,,,
"8327 Riverbirch DR Roswell, GA 30076",Arlette Rowe,female,14,201,,,
"209 Merritt DR Roswell, GA 30076",Willian Golden,male,14,487,,,
"8410 Steeple Chase DR Roswell, GA 30076",Nicky Aguirre,male,40,224,,,
"8109 Riverbirch DR Roswell, GA 30076",Oneida Camacho,female,7,47,,,
"131 Willow Brook DR Roswell, GA 30076",Mitchell Kim,female,8,652,,,
"2744 Hazy Hollow RUN Roswell, GA 30076",Apryl Trevino,female,35,496,,,
"328 Merritt DR Roswell, GA 30076",Palmer Johnson,male,63,76,,,
"2408 The Fifth Fairway Roswell, GA 30076",Myrta Guerrero,female,24,581,,,
"244 Merritt DR Roswell, GA 30076",Charita Bruce,female,63,325,,,
"2614 Satinwood DR Roswell, GA 30076",Avery Larsen,male,14,354,,,
"8305 Overview CT Roswell, GA 30076",Lavonia Pearson,female,23,98,,,
"2742 Misty Morning LN Roswell, GA 30076",Lorriane Knowles,female,23,232,,,
"104 Willow Brook DR Roswell, GA 30076",Damien Hays,male,12,507,,,
"8416 Haven Wood TRL Roswell, GA 30076",Breann Stevens,female,53,587,,,
"2411 Village On The GRN Roswell, GA 30076",Loris Garcia,female,40,777,,,
"2544 Steeple Chase DR Roswell, GA 30076",Rod Blackwell,male,13,366,,,
"213 Shadowledge LN Roswell, GA 30076",Rolando Burgess,male,30,246,,,
"8111 Overview CT Roswell, GA 30076",Lenita Stark,female,44,728,,,
"232 Willow Brook DR Roswell, GA 30076",Kristopher Cohen,male,39,815,,,
"2485 The Fifth Fairway Roswell, GA 30076",Rogelio Moody,male,63,771,,,
"8570 Steeple Chase DR Roswell, GA 30076",Pia Robinson,female,43,627,,,
"8514 Haven Wood TRL Roswell, GA 30076",Guadalupe Austin,male,63,276,,,
"220 Merritt DR Roswell, GA 30076",Diedre Reynolds,female,67,122,,,
"8627 Steeple Chase DR Roswell, GA 30076",Dustin Norman,male,55,460,,,
"2430 The Fifth Fairway Roswell, GA 30076",Raphael Schroeder,male,15,357,,,
"8644 Steeple Chase DR Roswell, GA 30076",Tony Singleton,male,54,135,,,
"339 Banyon Brook PT Roswell, GA 30076",Franchesca Hurst,female,22,539,,,
"2416 The Fifth Fairway Roswell, GA 30076",Darius Holman,male,22,212,,,
"520 Fourth Fairway DR Roswell, GA 30076",Serafina Santiago,female,47,505,,,
"8615 Haven Wood TRL Roswell, GA 30076",Ricky Caldwell,male,15,631,,,
"8126 Riverbirch DR Roswell, GA 30076",Cecil Soto,male,35,390,,,
"1018 Windsor TRL Roswell, GA 30076",Robena Sloan,female,41,557,,,
"120 Houze WAY Roswell, GA 30076",Fernanda Pierce,female,46,492,,,
"340 Putting Green LN Roswell, GA 30076",Sherice Maddox,female,24,211,,,
"1300 Chipping CT Roswell, GA 30076",Marquis Terrell,male,8,81,,,
"138 Bent Grass DR Roswell, GA 30076",Rocky Heath,male,24,348,,,
"8380 Parker PL Roswell, GA 30076",Omar Sanchez,male,15,377,,,
"2300 Macy DR Roswell, GA 30076",Graham Wilcox,male,66,684,,,
"400 Page PL Roswell, GA 30076",Olin Wilkins,male,10,342,,,
"700 Macy DR Roswell, GA 30076",Aron Burt,male,57,147,,,
"1200 Chipping CT Roswell, GA 30076",Johnie Haynes,male,5,122,,,
"3061 Bellingrath BLVD Roswell, GA 30076",Chaya Mullins,female,67,472,,,
"921 Windsor TRL Roswell, GA 30076",Brady Mclaughlin,male,27,557,,,
"1235 Falstaff DR Roswell, GA 30076",Orval Ramsey,male,19,531,,,
"435 Houze WAY Roswell, GA 30076",Graham Reynolds,male,12,79,,,
"160 Bent Grass DR Roswell, GA 30076",Hollis Gross,female,21,389,,,
"240 Bent Grass DR Roswell, GA 30076",Tran Erickson,female,61,520,,,
"900 Bogie CT Roswell, GA 30076",Dodie Mckinney,female,61,180,,,
"333 Putting Green LN Roswell, GA 30076",Matthew Manning,female,33,306,,,
"800 Macy DR Roswell, GA 30076",Judson Ellis,male,26,209,,,
"334 Crossville CT Roswell, GA 30076",Golden Edwards,female,40,40,,,
"2031 Lancaster SQ Roswell, GA 30076",Horace Carson,male,25,710,,,
"2400 Macy DR Roswell, GA 30076",Linsey Mercer,female,36,426,,,
"302 Robin CT Roswell, GA 30076",Rayford Justice,male,52,392,,,
"108 Bent Grass DR Roswell, GA 30076",Carlo Sutton,male,13,552,,,
"1100 Chipping CT Roswell, GA 30076",Naoma Alford,female,11,495,,,
"1000 Macy DR Roswell, GA 30076",Lekisha Hubbard,female,12,232,,,
"144 Bent Grass DR Roswell, GA 30076",Lionel Mclaughlin,male,49,624,,,
"1231 Falstaff DR Roswell, GA 30076",Florentina Hull,female,5,404,,,
"200 Macy DR Roswell, GA 30076",Franklin Head,male,43,693,,,
"8710 Parker PL Roswell, GA 30076",Maddie Gomez,female,21,298,,,
"837 Windsor TRL Roswell, GA 30076",Eric Weber,male,61,632,,,
"8713 Parker PL Roswell, GA 30076",Luci Martinez,female,69,652,,,
"1500 Chipping CT Roswell, GA 30076",Sonny Patterson,male,37,399,,,
"8174 Parker PL Roswell, GA 30076",Maynard Holmes,male,66,73,,,
"323 Houze WAY Roswell, GA 30076",Modesto Goodman,male,55,486,,,
"500 Macy DR Roswell, GA 30076",Rueben Rivas,male,48,227,,,
"1700 Macy DR Roswell, GA 30076",Jonas Cleveland,male,48,732,,,
"8210 Parker PL Roswell, GA 30076",Bobby Snider,male,17,123,,,
"8000 English Rose WAY Roswell, GA 30076",Jayson Tyler,male,40,279,,,
"8406 Parker PL Roswell, GA 30076",Jesse Slater,male,23,454,,,
"1600 Macy DR Roswell, GA 30076",Jerlene Blankenship,female,58,314,,,
"1025 Lancaster SQ Roswell, GA 30076",Dorathy Franklin,female,24,45,,,
"2100 Macy DR Roswell, GA 30076",Epifania Charles,female,63,456,,,
"1900 Macy DR Roswell, GA 30076",Karmen Strong,female,24,192,,,
"1500 Macy DR Roswell, GA 30076",Lady Lara,female,42,586,,,
"46 Houze WAY Roswell, GA 30076",Piper Riggs,female,34,338,,,
"8117 Parker PL Roswell, GA 30076",Nichol Ball,female,58,264,,,
"449 Robin CT Roswell, GA 30076",Jeffery Barber,male,36,188,,,
"3003 Lancaster SQ Roswell, GA 30076",Maximina Nelson,female,65,257,,,
"8294 Parker PL Roswell, GA 30076",Cyril Camacho,male,49,137,,,
"1103 Falstaff DR Roswell, GA 30076",Sydney Mayer,male,15,470,,,
"1300 Macy DR Roswell, GA 30076",Carmine Booth,male,31,151,,,
"2500 Macy DR Roswell, GA 30076",Rico Dillon,male,8,535,,,
"433 Barkshire LN Roswell, GA 30076",Tameika Mcpherson,female,19,395,,,
"421 Putting Green LN Roswell, GA 30076",Shera Chen,female,22,669,,,
"134 Houze WAY Roswell, GA 30076",Myesha Cooper,female,34,479,,,
"2200 Macy DR Roswell, GA 30076",Sherly Clements,female,67,563,,,
"8162 Parker PL Roswell, GA 30076",Adriene Graham,female,51,304,,,
"900 Par CT Roswell, GA 30076",Denyse Stevenson,female,42,434,,,
"8538 Parker PL Roswell, GA 30076",Alexander Daniel,female,31,86,,,
"100 Macy DR Roswell, GA 30076",Jessenia Cantu,female,41,238,,,
"442 Barkshire LN Roswell, GA 30076",Louis Strickland,male,20,149,,,
"328 Barkshire LN Roswell, GA 30076",Hiram Hahn,male,9,461,,,
"7000 Evergreen PL Roswell, GA 30076",Lakenya Mayer,female,40,204,,,
"1249 Falstaff DR Roswell, GA 30076",Gwyneth Fields,female,30,295,,,
"8046 Parker PL Roswell, GA 30076",Tommye Sullivan,female,41,391,,,
"3034 Lancaster SQ Roswell, GA 30076",Myrl Ramsey,female,57,602,,,
"1400 Chipping CT Roswell, GA 30076",Chet Justice,male,49,805,,,
"7000 Gaineswood DR Roswell, GA 30076",Sari Bird,female,61,452,,,
"238 Bent Grass DR Roswell, GA 30076",Wesley Hughes,male,52,121,,,
"1400 Macy DR Roswell, GA 30076",Florance Finch,female,43,225,,,
"951 Windsor TRL Roswell, GA 30076",Izetta Morales,female,60,633,,,
"300 Macy DR Roswell, GA 30076",Stephan Franklin,male,6,453,,,
"330 Bent Grass DR Roswell, GA 30076",Rico Crane,male,26,129,,,
"956 Windsor TRL Roswell, GA 30076",Charley Miles,male,56,663,,,
"1200 Macy DR Roswell, GA 30076",Alise Snider,female,57,225,,,
"1800 Macy DR Roswell, GA 30076",Shirleen Woods,female,50,444,,,
"320 Barkshire LN Roswell, GA 30076",Gerry Miles,male,11,612,,,
"308 Houze WAY Roswell, GA 30076",Brinda Cohen,female,37,494,,,
"6040 Gaineswood DR Roswell, GA 30076",Dann Mcgee,female,45,505,,,
"8047 Parker PL Roswell, GA 30076",Teofila Gould,female,33,319,,,
"236 Putting Green LN Roswell, GA 30076",Dee Durham,male,15,442,,,
"8335 Parker PL Roswell, GA 30076",Gearldine Fuentes,female,64,791,,,
"1039 Windsor TRL Roswell, GA 30076",Kasi Taylor,female,5,528,,,
"1036 Lancaster SQ Roswell, GA 30076",Jacinto Rutledge,male,63,550,,,
"306 Bent Grass DR Roswell, GA 30076",Myrle Fulton,female,29,314,,,
"8308 Parker PL Roswell, GA 30076",Alden Randolph,male,17,354,,,
"814 Windsor TRL Roswell, GA 30076",Margart Chavez,female,18,431,,,
"348 Barkshire LN Roswell, GA 30076",Amos Atkins,male,33,669,,,
"44 Houze WAY Roswell, GA 30076",Napoleon Ochoa,male,29,350,,,
"6026 Gaineswood DR Roswell, GA 30076",Tanner Woodard,male,20,649,,,
"8224 Parker PL Roswell, GA 30076",Macie Chang,female,68,348,,,
"8309 Parker PL Roswell, GA 30076",Walton Bray,male,61,622,,,
"208 Houze WAY Roswell, GA 30076",Ivory Wynn,male,67,225,,,
"8220 Parker PL Roswell, GA 30076",Lala Combs,female,26,298,,,
"505 Houze WAY Roswell, GA 30076",Shirely Ortiz,female,33,266,,,
"1026 Windsor TRL Roswell, GA 30076",Cristopher Hernandez,male,56,258,,,
"900 Macy DR Roswell, GA 30076",Stormy Hodge,female,36,200,,,
"337 Robin CT Roswell, GA 30076",Roderick Chapman,male,13,716,,,
"8249 Parker PL Roswell, GA 30076",Adolph Butler,male,69,228,,,
"803 Windsor TRL Roswell, GA 30076",Gail Ewing,male,11,232,,,
"241 Bent Grass DR Roswell, GA 30076",Azzie Myers,female,26,528,,,
"301 Bent Grass DR Roswell, GA 30076",Philip Stephenson,male,49,376,,,
"8542 Parker PL Roswell, GA 30076",Conception Norris,female,34,703,,,
"339 Crossville CT Roswell, GA 30076",Nigel Frederick,male,49,311,,,
"442 Houze WAY Roswell, GA 30076",Marica Abbott,female,44,67,,,
"8074 Parker PL Roswell, GA 30076",Damian Mckenzie,male,49,463,,,
"6 Houze WAY Roswell, GA 30076",Many Matthews,female,38,398,,,
"549 Houze WAY Roswell, GA 30076",Shona Burns,female,61,260,,,
"343 Barkshire LN Roswell, GA 30076",Louvenia Stark,female,56,357,,,
"8106 Parker PL Roswell, GA 30076",Yuki Chase,female,30,126,,,
"1048 Lancaster SQ Roswell, GA 30076",Galen Odom,male,39,559,,,
"1155 Falstaff DR Roswell, GA 30076",Emilio Solomon,male,55,335,,,
"8134 Parker PL Roswell, GA 30076",Ismael O'neal,male,18,226,,,
"2000 Macy DR Roswell, GA 30076",Luis Strong,male,60,402,,,
"1040 Lancaster SQ Roswell, GA 30076",Ali Sharpe,male,27,532,,,
"8204 Parker PL Roswell, GA 30076",Malisa Dodson,female,44,366,,,
"1203 Falstaff DR Roswell, GA 30076",Danyell Carey,female,23,536,,,
"334 Bent Grass DR Roswell, GA 30076",Sharri Tate,female,55,467,,,
"430 Barkshire LN Roswell, GA 30076",Gerardo Barnes,male,7,625,,,
"305 Bent Grass DR Roswell, GA 30076",Carlyn Hyde,female,13,108,,,
"834 Windsor TRL Roswell, GA 30076",Vannessa Downs,female,16,60,,,
"314 Crossville CT Roswell, GA 30076",Leonard Hubbard,male,57,686,,,
"3019 Bellingrath BLVD Roswell, GA 30076",Rea Spears,female,26,489,,,
"1015 Lancaster SQ Roswell, GA 30076",Warner Smith,male,51,241,,,
"8326 Parker PL Roswell, GA 30076",Sina Justice,female,62,270,,,
"207 Bent Grass DR Roswell, GA 30076",Arlen Parsons,male,33,347,,,
"337 Barkshire LN Roswell, GA 30076",Clay Velasquez,male,35,437,,,
"957 Windsor TRL Roswell, GA 30076",Russel Morgan,male,38,172,,,
"8296 Parker PL Roswell, GA 30076",Wilhemina Carney,female,48,60,,,
"1030 Windsor TRL Roswell, GA 30076",Daniell Murphy,female,41,227,,,
"138 Houze WAY Roswell, GA 30076",Gayle Chavez,male,48,75,,,
"303 Barkshire LN Roswell, GA 30076",Hermine Payne,female,13,111,,,
"8544 Parker PL Roswell, GA 30076",Bobbie Schwartz,male,42,100,,,
"100 Newcastle CT Roswell, GA 30076",Kent Noel,male,58,330,,,
"443 Houze WAY Roswell, GA 30076",Marcos Lucas,male,24,356,,,
"346 Bent Grass DR Roswell, GA 30076",Larisa Howe,female,38,269,,,
"632 Houze WAY Roswell, GA 30076",Jewel Langley,male,48,622,,,
"3006 Lancaster SQ Roswell, GA 30076",Norris Doyle,male,56,607,,,
"904 Windsor TRL Roswell, GA 30076",Mariko Salas,female,10,493,,,
"308 Barkshire LN Roswell, GA 30076",Avery Herman,female,32,503,,,
"518 Houze WAY Roswell, GA 30076",Thanh Richards,male,61,294,,,
"1025 Windsor TRL Roswell, GA 30076",Del Garner,male,17,195,,,
"1031 Lancaster SQ Roswell, GA 30076",Lou Ochoa,male,37,182,,,
"131 Houze WAY Roswell, GA 30076",Foster Coffey,male,45,623,,,
"8133 Parker PL Roswell, GA 30076",Freddy Casey,male,60,122,,,
"3025 Lancaster SQ Roswell, GA 30076",Ashli Stephenson,female,15,136,,,
"1005 Lancaster SQ Roswell, GA 30076",Randa Pearson,female,67,221,,,
"501 Houze WAY Roswell, GA 30076",Harmony Cabrera,female,48,402,,,
"3047 Lancaster SQ Roswell, GA 30076",Marvella Carson,female,60,450,,,
"8217 Parker PL Roswell, GA 30076",Stewart Stuart,male,52,199,,,
"207 Houze WAY Roswell, GA 30076",Emelina Doyle,female,52,52,,,
"349 Putting Green LN Roswell, GA 30076",Edison Castro,male,29,264,,,
"1010 Windsor TRL Roswell, GA 30076",Dorie Cross,female,37,466,,,
"418 Barkshire LN Roswell, GA 30076",Alishia Lawrence,female,43,461,,,
"6044 Gaineswood DR Roswell, GA 30076",Taylor Terrell,male,31,366,,,
"975 Windsor TRL Roswell, GA 30076",Damion Marshall,male,21,424,,,
"1053 Windsor TRL Roswell, GA 30076",Chester Wright,male,23,239,,,
"240 Houze WAY Roswell, GA 30076",Theron Cunningham,male,16,501,,,
"8225 Parker PL Roswell, GA 30076",Terisa Klein,female,13,112,,,
"243 Houze WAY Roswell, GA 30076",Letty Mullen,female,35,150,,,
"5000 Rosedown PL Roswell, GA 30076",Crista Reese,female,54,371,,,
"8114 Parker PL Roswell, GA 30076",Adolph Padilla,male,5,526,,,
"113 Houze WAY Roswell, GA 30076",Gerald Ray,female,41,172,,,
"1013 Lancaster SQ Roswell, GA 30076",Alonso Doyle,male,19,348,,,
"335 Putting Green LN Roswell, GA 30076",Somer Snider,female,15,87,,,
"8732 Parker PL Roswell, GA 30076",Maddie Savage,female,48,46,,,
"454 Houze WAY Roswell, GA 30076",Kenyetta Mosley,female,31,694,,,
"233 Houze WAY Roswell, GA 30076",Armando Alford,male,8,441,,,
"4000 Bellingrath BLVD Roswell, GA 30076",Carylon Phelps,female,19,180,,,
"8023 Parker PL Roswell, GA 30076",Tory Roy,male,49,418,,,
"102 Bent Grass DR Roswell, GA 30076",Tracey Maddox,male,11,500,,,
"1135 Falstaff DR Roswell, GA 30076",Valentin Douglas,male,61,380,,,
"1157 Falstaff DR Roswell, GA 30076",Amal Davenport,female,42,425,,,
"400 Macy DR Roswell, GA 30076",Odelia Mckee,female,60,293,,,
"444 Houze WAY Roswell, GA 30076",Drusilla Nielsen,female,24,384,,,
"406 Robin CT Roswell, GA 30076",Gene Olson,male,63,431,,,
"918 Windsor TRL Roswell, GA 30076",Albertine Romero,female,39,61,,,
"321 Putting Green LN Roswell, GA 30076",Dane Tanner,male,61,520,,,
"8088 Parker PL Roswell, GA 30076",Hertha Houston,female,50,455,,,
"332 Barkshire LN Roswell, GA 30076",Len Duffy,male,49,100,,,
"8285 Parker PL Roswell, GA 30076",Ria Rocha,female,26,509,,,
"8054 Parker PL Roswell, GA 30076",Diego Haynes,male,22,337,,,
"8353 Parker PL Roswell, GA 30076",Douglas Kirk,male,40,352,,,
"8737 Parker PL Roswell, GA 30076",Rayford Estrada,male,15,289,,,
"6022 Gaineswood DR Roswell, GA 30076",Denny Monroe,male,16,791,,,
"139 Houze WAY Roswell, GA 30076",Octavio Tran,male,60,405,,,
"1125 Falstaff DR Roswell, GA 30076",Divina Hanson,female,65,234,,,
"8328 Parker PL Roswell, GA 30076",Margurite Bird,female,33,343,,,
"38 Houze WAY Roswell, GA 30076",Murray Barry,male,23,354,,,
"314 Houze WAY Roswell, GA 30076",Dreama Rojas,female,5,164,,,
"3041 Lancaster SQ Roswell, GA 30076",Malik Ware,male,43,150,,,
"110 Bent Grass DR Roswell, GA 30076",Raymundo Huff,male,8,499,,,
"448 Robin CT Roswell, GA 30076",Dorsey House,male,7,528,,,
"423 Barkshire LN Roswell, GA 30076",Marx Schwartz,female,34,247,,,
"113 Bent Grass DR Roswell, GA 30076",Wilmer Garrison,male,32,748,,,
"1028 Lancaster SQ Roswell, GA 30076",Dale Valencia,male,25,416,,,
"313 Barkshire LN Roswell, GA 30076",Manuel Ferguson,male,32,320,,,
"8192 Parker PL Roswell, GA 30076",Shawnta Malone,female,20,415,,,
"1118 Falstaff DR Roswell, GA 30076",Ming Thompson,female,41,431,,,
"8026 Parker PL Roswell, GA 30076",Lawanna Cantu,female,50,521,,,
"433 Robin CT Roswell, GA 30076",Gerry Fry,male,27,447,,,
"23 Houze WAY Roswell, GA 30076",Nestor Little,male,7,500,,,
"510 Houze WAY Roswell, GA 30076",Davis Kennedy,male,49,386,,,
"316 Putting Green LN Roswell, GA 30076",Alleen Mercer,female,62,157,,,
"344 Barkshire LN Roswell, GA 30076",Johanne Saunders,female,41,597,,,
"312 Putting Green LN Roswell, GA 30076",Kelsi Hammond,female,33,240,,,
"439 Robin CT Roswell, GA 30076",Craig Nixon,male,47,528,,,
"1100 Macy DR Roswell, GA 30076",Delta Dennis,female,18,176,,,
